PERMNO,date,TICKER,DIVAMT
14593,2012-08-09,AAPL,2.65
14593,2012-11-07,AAPL,2.65
14593,2013-02-07,AAPL,2.65
14593,2013-05-09,AAPL,3.05
14593,2013-08-08,AAPL,3.05
14593,2013-11-06,AAPL,3.05
14593,2014-02-06,AAPL,3.05
14593,2014-05-08,AAPL,3.29
14593,2014-06-09,AAPL,0.0
14593,2014-08-07,AAPL,0.47
14593,2014-11-06,AAPL,0.47
14593,2015-02-05,AAPL,0.47
14593,2015-05-07,AAPL,0.52
14593,2015-08-06,AAPL,0.52
14593,2015-11-05,AAPL,0.52
14593,2016-02-04,AAPL,0.52
14593,2016-05-05,AAPL,0.57
14593,2016-08-04,AAPL,0.57
14593,2016-11-03,AAPL,0.57
14593,2017-02-09,AAPL,0.57
14593,2017-05-11,AAPL,0.63
14593,2017-08-10,AAPL,0.63
14593,2017-11-10,AAPL,0.63
14593,2018-02-09,AAPL,0.63
14593,2018-05-11,AAPL,0.73
14593,2018-08-10,AAPL,0.73
14593,2018-11-08,AAPL,0.73
14593,2019-02-08,AAPL,0.73
14593,2019-05-10,AAPL,0.77
14593,2019-08-09,AAPL,0.77
14593,2019-11-07,AAPL,0.77
26403,2009-12-10,DIS,0.35
26403,2010-12-09,DIS,0.4
26403,2011-12-14,DIS,0.6
26403,2012-12-06,DIS,0.75
26403,2013-12-12,DIS,0.86
26403,2014-12-11,DIS,1.15
26403,2015-07-01,DIS,0.66
26403,2015-12-10,DIS,0.71
26403,2016-07-07,DIS,0.71
26403,2016-12-08,DIS,0.78
26403,2017-07-06,DIS,0.78
26403,2017-12-08,DIS,0.84
26403,2018-07-06,DIS,0.84
26403,2018-12-07,DIS,0.88
26403,2019-07-05,DIS,0.88
26403,2019-12-13,DIS,0.88
47896,2009-07-01,JPM,0.05
47896,2009-10-02,JPM,0.05
47896,2010-01-04,JPM,0.05
47896,2010-04-01,JPM,0.05
47896,2010-07-01,JPM,0.05
47896,2010-10-04,JPM,0.05
47896,2011-01-04,JPM,0.05
47896,2011-04-04,JPM,0.25
47896,2011-07-01,JPM,0.25
47896,2011-10-04,JPM,0.25
47896,2012-01-04,JPM,0.25
47896,2012-04-03,JPM,0.3
47896,2012-07-03,JPM,0.3
47896,2012-10-03,JPM,0.3
47896,2013-01-02,JPM,0.3
47896,2013-04-03,JPM,0.3
47896,2013-07-02,JPM,0.38
47896,2013-10-02,JPM,0.38
47896,2014-01-02,JPM,0.38
47896,2014-04-02,JPM,0.38
47896,2014-07-01,JPM,0.4
47896,2014-10-02,JPM,0.4
47896,2015-01-02,JPM,0.4
47896,2015-04-01,JPM,0.4
47896,2015-07-01,JPM,0.44
47896,2015-10-02,JPM,0.44
47896,2016-01-04,JPM,0.44
47896,2016-04-04,JPM,0.44
47896,2016-07-01,JPM,0.48
47896,2016-10-04,JPM,0.48
47896,2017-01-04,JPM,0.48
47896,2017-04-04,JPM,0.5
47896,2017-07-03,JPM,0.5
47896,2017-10-05,JPM,0.56
47896,2018-01-04,JPM,0.56
47896,2018-04-05,JPM,0.56
47896,2018-07-05,JPM,0.56
47896,2018-10-04,JPM,0.8
47896,2019-01-03,JPM,0.8
47896,2019-04-04,JPM,0.8
47896,2019-07-03,JPM,0.8
47896,2019-10-03,JPM,0.9
55976,2009-08-12,WMT,0.2725
55976,2009-12-09,WMT,0.2725
55976,2010-03-10,WMT,0.3025
55976,2010-05-12,WMT,0.3025
55976,2010-08-11,WMT,0.3025
55976,2010-12-08,WMT,0.3025
55976,2011-03-09,WMT,0.365
55976,2011-05-11,WMT,0.365
55976,2011-08-10,WMT,0.365
55976,2011-12-07,WMT,0.365
55976,2012-03-08,WMT,0.3975
55976,2012-05-09,WMT,0.3975
55976,2012-08-08,WMT,0.3975
55976,2012-12-05,WMT,0.3975
55976,2013-03-08,WMT,0.47
55976,2013-05-08,WMT,0.47
55976,2013-08-07,WMT,0.47
55976,2013-12-04,WMT,0.47
55976,2014-03-07,WMT,0.48
55976,2014-05-07,WMT,0.48
55976,2014-08-06,WMT,0.48
55976,2014-12-03,WMT,0.48
55976,2015-03-11,WMT,0.49
55976,2015-05-06,WMT,0.49
55976,2015-08-05,WMT,0.49
55976,2015-12-02,WMT,0.49
55976,2016-03-09,WMT,0.5
55976,2016-05-11,WMT,0.5
55976,2016-08-10,WMT,0.5
55976,2016-12-07,WMT,0.5
55976,2017-03-08,WMT,0.51
55976,2017-05-10,WMT,0.51
55976,2017-08-09,WMT,0.51
55976,2017-12-07,WMT,0.51
55976,2018-03-08,WMT,0.52
55976,2018-05-10,WMT,0.52
55976,2018-08-09,WMT,0.52
55976,2018-12-06,WMT,0.52
55976,2019-03-14,WMT,0.53
55976,2019-05-09,WMT,0.53
55976,2019-08-08,WMT,0.53
55976,2019-12-05,WMT,0.53
